time,rho,rho_dot,theta,theta_dot,phi,phi_dot,u_rho,u_theta,u_phi,rho_ddot,theta_ddot,phi_ddot
0.0,4.5,-1.1757140450905652e-35,0.0,0.0,0.7853981633974483,-2.7030252203443554e-37,-0.999999932836831,0.9999999426934103,-0.9999998829124586,-0.1999999865673662,0.06575342088942973,-0.032876708479313704
0.09141188362661486,4.499164386809306,-0.01828237549742079,0.00027475989319051516,0.0060122959369725395,0.7852607897510122,-0.0030058724091186484,-0.9999999279267213,0.9999999414186829,-0.999999876722353,-0.19999998558534426,0.06580764142393475,-0.03289477834824365
0.1828237672532297,4.496657547241326,-0.03656475090507312,0.0010994928838169288,0.012034515248971173,0.7848485177651969,-0.006015050689599347,-0.9999999225353973,0.9999999402054491,-0.9999998701939253,-0.19999998450707945,0.06597065005198874,-0.03294906224682526
0.2742356508798446,4.4924794813046685,-0.05484712621415924,0.0024755618205775545,0.01807664486316844,0.7841608936818654,-0.009030854254676687,-0.9999999165925844,0.9999999390568505,-0.999999863291915,-0.19999998331851687,0.06624349163674169,-0.033039782332702876
0.3656475345064594,4.486630189008806,-0.07312950141459662,0.004405247825625359,0.02414879958416435,0.7831971591730797,-0.012056629652116216,-0.9999999100140051,0.9999999379758839,-0.9999998559752729,-0.19999998200280103,0.06662792204372545,-0.0331673104378604
0.45705941813307427,4.479109670364199,-0.09141187649476197,0.006891764982061936,0.03026128802077159,0.7819562482323853,-0.015095764346580205,-0.999999902697741,0.99999993696539,-0.9999998481959826,-0.1999999805395482,0.06712643006555943,-0.03333217042102624
0.5484713017596892,4.46991792538246,-0.10969425144116864,0.009939281152368196,0.03642468094037005,0.7804367827950831,-0.01815170076002881,-0.999999894519403,0.9999999360280379,-0.9999998398975863,-0.1999999789038806,0.0677422686936213,-0.03353504146057608
0.639883185386304,4.459054954076536,-0.12797662623805586,0.0135529451894948,0.042649882930974756,0.7786370670599775,-0.0212279506560232,-0.9999998853256282,0.9999999351663111,-0.9999998310133226,-0.19999997706512565,0.06847949633039327,-0.03377676228507896
0.7312950690129189,4.446520756460942,-0.14625900086685903,0.017738920885535733,0.04894820831416761,0.7765550804772527,-0.02432810995335453,-0.9999998749251856,0.9999999343824915,-0.9999998214637543,-0.19999997498503713,0.06934302873004373,-0.03405833633422759
0.8227069526395338,4.4323153325520535,-0.16454137530551743,0.022504428092702967,0.05533146233359906,0.7741884693593634,-0.027455874053445954,-0.9999998630765994,0.9999999336786404,-0.9999998111537156,-0.19999997261531988,0.07033870266762231,-0.034380937835445276
